Sentence length,Democrat Occurrences
0,14636
1,202
2,246
3,268
4,262
5,268
6,300
7,305
8,317
9,255
10,290
11,270
12,232
13,238
14,201
15,198
16,185
17,183
18,174
19,163
20,142
21,141
22,124
23,140
24,101
25,92
26,97
27,79
28,96
29,82
30,78
31,50
32,39
33,69
34,58
35,32
36,42
37,29
38,38
39,39
40,27
41,19
42,15
43,21
44,14
45,15
46,15
47,18
48,15
49,13
50,15
51,11
52,13
53,10
54,7
55,8
56,5
57,9
58,9
59,4
60,2
61,4
62,4
63,5
64,2
65,1
68,4
69,1
70,1
71,2
72,1
74,2
78,3
83,1
85,2
89,2
98,1
113,1
