Word frequency,Number of words
1024,1
1,2555
2,998
3,552
4,356
5,242
6,174
7,143
8,125
9,100
10,70
11,62
12,62
13,55
14,42
15,48
16,41
17,36
18,44
19,30
20,20
21,28
22,18
23,21
24,21
25,17
26,15
27,13
28,17
29,14
30,14
31,14
32,8
33,9
34,10
35,12
36,8
37,6
38,6
39,11
40,11
41,12
42,5
43,6
44,5
45,6
46,7
47,3
48,5
49,6
50,4
51,7
52,8
53,5
54,2
55,4
56,4
2105,1
58,3
59,5
60,4
61,2
62,2
63,6
64,1
525,1
67,4
3140,1
69,1
70,1
71,5
72,2
73,3
74,1
75,3
76,3
77,2
78,2
79,3
592,1
81,3
82,1
84,1
85,1
86,1
87,3
88,5
89,3
90,4
92,3
93,1
94,2
95,1
97,3
98,2
100,1
101,1
102,1
103,1
104,3
106,2
107,1
111,1
115,1
116,1
117,2
118,1
119,2
120,1
633,1
122,1
125,2
126,2
127,1
128,2
130,2
132,1
133,1
135,2
136,2
649,1
138,1
139,1
142,1
144,1
145,1
146,2
148,1
149,1
150,1
159,1
161,1
163,1
167,1
170,1
172,1
174,1
175,2
177,2
178,2
181,1
183,1
185,1
189,1
192,2
196,1
197,1
202,1
211,1
2138,1
213,1
216,1
217,1
220,1
224,1
228,1
229,2
231,2
233,1
234,1
236,1
237,1
242,1
1267,1
757,1
246,1
251,1
254,1
255,1
256,1
260,1
267,2
781,1
274,1
275,1
276,1
277,1
279,1
2095,1
285,1
296,1
298,1
813,1
304,1
305,1
308,1
311,1
316,1
318,1
565,1
322,1
328,2
331,1
332,1
568,1
57,1
1881,1
348,1
360,1
361,1
370,1
885,1
609,1
4472,1
319,1
1404,1
381,1
2437,1
66,2
399,1
68,1
410,1
924,1
422,1
423,1
2094,1
137,1
3548,1
80,1
1004,1
505,1
509,1
