Sentence length,Republican Occurrences
0,22649
1,483
2,426
3,556
4,498
5,677
6,596
7,595
8,524
9,503
10,421
11,417
12,374
13,383
14,323
15,270
16,297
17,280
18,270
19,235
20,218
21,183
22,172
23,183
24,145
25,137
26,120
27,109
28,108
29,91
30,85
31,71
32,62
33,57
34,51
35,39
36,43
37,38
38,27
39,36
40,32
41,36
42,27
43,24
44,14
45,21
46,15
47,18
48,20
49,15
50,9
51,9
52,8
53,11
54,6
55,7
56,5
57,6
58,2
59,3
60,2
61,2
62,2
63,3
64,3
65,2
66,3
67,1
70,1
71,3
74,2
76,1
77,1
79,1
80,1
81,1
92,1
94,1
