Word frequency,Number of words
1,3178
2,1153
3,629
4,386
5,275
6,202
7,154
8,128
9,106
10,93
11,77
12,49
13,60
14,44
15,58
16,34
17,40
18,35
19,35
20,17
21,23
22,25
23,27
24,23
25,28
26,12
27,18
28,17
29,16
30,17
31,20
32,13
33,14
34,17
35,14
36,13
37,11
38,12
39,14
40,12
41,8
42,11
43,8
44,9
45,7
46,6
47,8
48,9
49,7
50,3
563,1
52,5
53,7
54,7
55,6
56,8
57,5
58,3
59,2
60,3
61,5
62,4
63,4
64,7
65,4
66,7
67,4
68,3
69,3
70,4
71,3
72,4
73,5
74,1
75,5
76,3
77,1
78,2
79,3
80,2
81,3
82,3
83,2
84,1
87,1
88,2
89,1
90,1
3087,1
92,4
93,1
94,3
95,2
96,2
99,4
100,1
101,3
102,1
103,4
104,1
106,1
108,2
109,2
110,3
111,1
112,1
113,2
114,1
116,1
117,1
118,1
120,3
122,1
123,1
124,3
125,2
126,2
1664,1
129,4
131,2
132,3
134,1
135,2
136,1
1162,1
139,2
141,1
143,2
146,1
149,1
153,1
159,1
2721,1
674,1
539,1
166,1
167,1
2217,1
170,1
173,1
686,1
541,1
688,1
286,2
182,1
183,1
184,1
628,1
186,1
187,1
1029,1
190,1
175,2
195,1
196,2
199,1
201,1
518,1
203,1
204,1
210,1
1236,1
213,1
215,1
216,1
217,1
228,1
229,1
742,1
307,1
238,1
245,1
249,1
251,1
252,1
128,1
260,1
261,1
778,1
267,1
138,1
273,1
275,2
558,1
1814,1
792,1
282,2
283,1
798,1
295,1
304,1
306,1
51,7
310,1
314,1
317,1
565,2
212,1
2890,2
336,1
341,1
348,1
349,1
357,2
871,1
371,1
4468,1
374,1
1399,1
1917,1
894,1
661,1
384,1
386,2
388,2
904,1
395,1
4198,1
399,3
913,1
914,1
403,2
408,1
409,1
6057,1
2995,1
436,1
951,1
440,1
330,1
448,2
456,1
603,1
462,1
163,1
504,1
2557,1
